Protocol,DosEnabled,Seed,NodeSpeed,NodePause,NumAttackers,AttackerNodes,AttackTargetNode,DosRate,TxPackets,RxPackets,PDR_percent,Throughput_kbps,AvgDelay_ms,LostPacketsByDiff,FlowmonLostPackets,ActiveDuration_s
AODV,false,1,10,0,0,,0,1Mbps,3971,2266,57.0637,16.779,48.2854,1705,1551,99.3968
AODV,true,1,10,0,1,49,0,1Mbps,3971,2227,56.0816,16.4902,88.3605,1744,1622,99.3968
AODV,false,1,2,0,0,,0,1Mbps,3971,2394,60.2871,17.7268,67.0412,1577,1409,99.3968
AODV,false,1,5,0,0,,0,1Mbps,3971,2573,64.7948,19.0439,53.0261,1398,1322,99.4403
AODV,true,1,2,0,1,49,0,1Mbps,3971,1655,41.6772,12.2547,81.4017,2316,2137,99.3968
AODV,true,1,5,0,1,49,0,1Mbps,3971,2512,63.2586,18.5859,47.4487,1459,1425,99.4747
AODV,true,1,10,0,3,49|48|47,0,1Mbps,3971,1555,39.1589,11.5143,210.327,2416,2223,99.3968
AODV,true,1,10,0,5,49|48|47|46|45,0,1Mbps,3971,961,24.2005,7.11588,174.622,3010,2839,99.3968
AODV,false,2,10,0,0,,0,1Mbps,3976,2276,57.2435,16.8245,65.3989,1700,1494,99.5654
AODV,true,2,10,0,1,49,0,1Mbps,3976,1403,35.2867,10.3706,114.959,2573,2368,99.5703
AODV,false,2,2,0,0,,0,1Mbps,3976,2380,59.8592,17.5698,42.3026,1596,1512,99.6983
AODV,false,2,5,0,0,,0,1Mbps,3976,2536,63.7827,18.7214,36.6056,1440,1295,99.6983
AODV,true,2,2,0,1,49,0,1Mbps,3976,1507,37.9024,11.1251,344.184,2469,2387,99.6983
AODV,true,2,5,0,1,49,0,1Mbps,3976,2068,52.0121,15.2873,173.765,1908,1867,99.5627
AODV,true,2,10,0,3,49|48|47,0,1Mbps,3976,924,23.2394,6.8301,85.2571,3052,2879,99.5687
AODV,true,2,10,0,5,49|48|47|46|45,0,1Mbps,3976,759,19.0895,5.61044,276.008,3217,2967,99.5687
AODV,false,3,10,0,0,,0,1Mbps,3970,2010,50.6297,14.883,151.196,1960,1754,99.3994
AODV,true,3,10,0,1,49,0,1Mbps,3970,2606,65.6423,19.2961,120.624,1364,1287,99.3994
AODV,false,3,2,0,0,,0,1Mbps,3970,2938,74.005,21.7489,17.9495,1032,938,99.4243
AODV,false,3,5,0,0,,0,1Mbps,3970,3085,77.7078,22.837,40.9203,885,841,99.4248
AODV,true,3,2,0,1,49,0,1Mbps,3970,3175,79.9748,23.5033,48.7487,795,724,99.4243
AODV,true,3,5,0,1,49,0,1Mbps,3970,2034,51.2343,15.0699,74.3179,1936,1799,99.3385
AODV,true,3,10,0,3,49|48|47,0,1Mbps,3970,1714,43.1738,12.6929,154.644,2256,2147,99.3868
AODV,true,3,10,0,5,49|48|47|46|45,0,1Mbps,3970,1107,27.8841,8.19675,321.75,2863,2594,99.3994
AODV,false,4,10,0,0,,0,1Mbps,3974,2133,53.6739,15.7688,132.033,1841,1681,99.5563
AODV,true,4,10,0,1,49,0,1Mbps,3974,2023,50.9059,14.9556,59.8964,1951,1774,99.5563
AODV,false,4,2,0,0,,0,1Mbps,3974,3707,93.2813,27.3972,33.7876,267,206,99.5851
AODV,false,4,5,0,0,,0,1Mbps,3974,2640,66.4318,19.5103,38.2593,1334,1181,99.5904
AODV,true,4,2,0,1,49,0,1Mbps,3974,3289,82.763,24.3078,100.128,685,623,99.5856
AODV,true,4,5,0,1,49,0,1Mbps,3974,2068,52.0382,15.2917,29.6043,1906,1701,99.5341
