Protocol,DosEnabled,Seed,NodeSpeed,NodePause,NumAttackers,AttackerNodes,AttackTargetNode,DosRate,TxPackets,RxPackets,PDR_percent,Throughput_kbps,AvgDelay_ms,LostPacketsByDiff,FlowmonLostPackets,ActiveDuration_s
DSDV,false,1,10,0,0,,0,1Mbps,3971,1066,26.8446,7.89337,3.95044,2905,2620,99.3968
DSDV,true,1,10,0,1,49,0,1Mbps,3971,1109,27.9275,8.21177,38.2683,2862,2543,99.3968
DSDV,false,1,2,0,0,,0,1Mbps,3971,2317,58.348,17.1565,11.9122,1654,1511,99.3973
DSDV,false,1,5,0,0,,0,1Mbps,3971,1679,42.2815,12.4328,30.204,2292,2035,99.3935
DSDV,true,1,2,0,1,49,0,1Mbps,3971,2023,50.9443,14.9789,34.8245,1948,1763,99.4017
DSDV,true,1,5,0,1,49,0,1Mbps,3971,1423,35.8348,10.5371,67.7521,2548,2302,99.394
DSDV,true,1,10,0,3,49|48|47,0,1Mbps,3971,975,24.553,7.21842,19.6931,2996,2703,99.4124
DSDV,true,1,10,0,5,49|48|47|46|45,0,1Mbps,3971,880,22.1607,6.52527,34.8199,3091,2738,99.2572
DSDV,false,2,10,0,0,,0,1Mbps,3976,1062,26.7103,7.85018,24.3811,2914,2606,99.5687
DSDV,true,2,10,0,1,49,0,1Mbps,3976,915,23.0131,6.76357,37.5625,3061,2773,99.5687
DSDV,false,2,2,0,0,,0,1Mbps,3976,2413,60.6891,17.8195,25.2992,1563,1453,99.6641
DSDV,false,2,5,0,0,,0,1Mbps,3976,1706,42.9074,12.5987,21.069,2270,2077,99.6624
DSDV,true,2,2,0,1,49,0,1Mbps,3976,1294,32.5453,9.55731,243.136,2682,2445,99.6497
DSDV,true,2,5,0,1,49,0,1Mbps,3976,1294,32.5453,9.55266,64.1446,2682,2448,99.6983
DSDV,true,2,10,0,3,49|48|47,0,1Mbps,3976,844,21.2274,6.23875,134.988,3132,2874,99.5687
DSDV,true,2,10,0,5,49|48|47|46|45,0,1Mbps,3976,658,16.5493,4.86428,143.612,3318,3006,99.56
DSDV,false,3,10,0,0,,0,1Mbps,3970,1430,36.0202,10.5883,6.82522,2540,2315,99.3999
DSDV,true,3,10,0,1,49,0,1Mbps,3970,1101,27.733,8.15008,40.7603,2869,2604,99.4267
DSDV,false,3,2,0,0,,0,1Mbps,3970,2468,62.1662,18.2697,23.2203,1502,1397,99.4243
DSDV,false,3,5,0,0,,0,1Mbps,3970,2046,51.5365,15.1457,16.6305,1924,1752,99.4248
DSDV,true,3,2,0,1,49,0,1Mbps,3970,2600,65.4912,19.2468,17.5392,1370,1230,99.4243
DSDV,true,3,5,0,1,49,0,1Mbps,3970,1822,45.8942,13.4895,73.9543,2148,1940,99.4102
DSDV,true,3,10,0,3,49|48|47,0,1Mbps,3970,1125,28.3375,8.32682,46.9078,2845,2569,99.4377
DSDV,true,3,10,0,5,49|48|47|46|45,0,1Mbps,3970,792,19.9496,5.89726,61.4369,3178,2834,98.8446
DSDV,false,4,10,0,0,,0,1Mbps,3974,1329,33.4424,9.82504,13.0053,2645,2359,99.5563
DSDV,true,4,10,0,1,49,0,1Mbps,3974,1185,29.8188,8.76047,18.8255,2789,2520,99.5563
DSDV,false,4,2,0,0,,0,1Mbps,3974,3017,75.9185,22.2978,21.0466,957,857,99.5845
DSDV,false,4,5,0,0,,0,1Mbps,3974,1846,46.4519,13.6452,13.5651,2128,1832,99.5702
DSDV,true,4,2,0,1,49,0,1Mbps,3974,2640,66.4318,19.5136,72.5562,1334,1191,99.5735
DSDV,true,4,5,0,1,49,0,1Mbps,3974,1565,39.381,11.5665,6.85515,2409,2129,99.5845
DSDV,true,4,10,0,3,49|48|47,0,1Mbps,3974,1176,29.5924,8.69394,28.3556,2798,2568,99.5563
DSDV,true,4,10,0,5,49|48|47|46|45,0,1Mbps,3974,768,19.3256,5.67907,105.13,3206,2913,99.5319
DSDV,false,5,10,0,0,,0,1Mbps,3973,1890,47.5711,13.9521,9.82454,2083,1897,99.7009
DSDV,true,5,10,0,1,49,0,1Mbps,3973,1206,30.3549,8.90037,38.9968,2767,2464,99.728
DSDV,false,5,2,0,0,,0,1Mbps,3973,3027,76.1893,22.3463,6.42852,946,860,99.6975
DSDV,false,5,5,0,0,,0,1Mbps,3973,2328,58.5955,17.1811,9.61221,1645,1486,99.7263
DSDV,true,5,2,0,1,49,0,1Mbps,3973,2144,53.9643,15.8275,108.25,1829,1630,99.6987
DSDV,true,5,5,0,1,49,0,1Mbps,3973,1611,40.5487,11.8895,101.948,2362,2119,99.7263
DSDV,true,5,10,0,3,49|48|47,0,1Mbps,3973,1075,27.0576,7.93358,55.5961,2898,2633,99.728
DSDV,true,5,10,0,5,49|48|47|46|45,0,1Mbps,3973,695,17.4931,5.13062,129.945,3278,3001,99.6994
DSDV,false,6,10,0,0,,0,1Mbps,3977,1176,29.57,8.6846,13.2209,2801,2526,99.6633
DSDV,true,6,10,0,1,49,0,1Mbps,3977,1130,28.4134,8.34494,40.5939,2847,2585,99.6628
DSDV,false,6,2,0,0,,0,1Mbps,3977,2550,64.1187,18.8311,19.4638,1427,1339,99.665
DSDV,false,6,5,0,0,,0,1Mbps,3977,2387,60.0201,17.6275,13.319,1590,1458,99.6645
DSDV,true,6,2,0,1,49,0,1Mbps,3977,2061,51.823,15.2221,19.8999,1916,1748,99.6509
DSDV,true,6,5,0,1,49,0,1Mbps,3977,2163,54.3877,15.9818,81.2937,1814,1561,99.6115
DSDV,true,6,10,0,3,49|48|47,0,1Mbps,3977,613,15.4136,4.52672,121.588,3364,3046,99.6677
DSDV,true,6,10,0,5,49|48|47|46|45,0,1Mbps,3977,463,11.6419,3.41921,191.647,3514,3175,99.6628
DSDV,false,7,10,0,0,,0,1Mbps,3975,1653,41.5849,12.2084,16.2196,2322,2068,99.6534
DSDV,true,7,10,0,1,49,0,1Mbps,3975,1546,38.8931,11.4181,35.1941,2429,2197,99.6538
DSDV,false,7,2,0,0,,0,1Mbps,3975,2079,52.3019,15.3543,36.7777,1896,1728,99.6556
DSDV,false,7,5,0,0,,0,1Mbps,3975,1698,42.717,12.5406,22.8001,2277,2124,99.6545
DSDV,true,7,2,0,1,49,0,1Mbps,3975,1317,33.1321,9.74075,154.736,2658,2399,99.5111
DSDV,true,7,5,0,1,49,0,1Mbps,3975,1702,42.8176,12.5702,79.1516,2273,2142,99.6545
DSDV,true,7,10,0,3,49|48|47,0,1Mbps,3975,1351,33.9874,9.97777,90.8556,2624,2339,99.6551
DSDV,true,7,10,0,5,49|48|47|46|45,0,1Mbps,3975,887,22.3145,6.55078,113.032,3088,2739,99.6571
DSDV,false,8,10,0,0,,0,1Mbps,3972,1239,31.1934,9.17942,35.2163,2733,2515,99.3422
DSDV,true,8,10,0,1,49,0,1Mbps,3972,1238,31.1682,9.16737,19.6981,2734,2519,99.3925
DSDV,false,8,2,0,0,,0,1Mbps,3972,2642,66.5156,19.5477,3.30121,1330,1181,99.475
DSDV,false,8,5,0,0,,0,1Mbps,3972,1663,41.8681,12.3145,40.0976,2309,2107,99.3928
DSDV,true,8,2,0,1,49,0,1Mbps,3972,2590,65.2064,19.163,24.2606,1382,1220,99.475
DSDV,true,8,5,0,1,49,0,1Mbps,3972,1596,40.1813,11.8083,31.0153,2376,2160,99.4772
DSDV,true,8,10,0,3,49|48|47,0,1Mbps,3972,949,23.8922,7.0291,183.317,3023,2737,99.3675
DSDV,true,8,10,0,5,49|48|47|46|45,0,1Mbps,3972,629,15.8359,4.65772,166.212,3343,3043,99.3929
DSDV,false,9,10,0,0,,0,1Mbps,3974,754,18.9733,5.57901,18.4495,3220,2965,99.47
DSDV,true,9,10,0,1,49,0,1Mbps,3974,720,18.1178,5.32743,29.4317,3254,2943,99.47
DSDV,false,9,2,0,0,,0,1Mbps,3974,2891,72.7479,21.3568,11.2386,1083,984,99.6301
DSDV,false,9,5,0,0,,0,1Mbps,3974,1314,33.0649,9.70684,19.7601,2660,2412,99.6312
DSDV,true,9,2,0,1,49,0,1Mbps,3974,2421,60.921,17.8847,74.251,1553,1359,99.6301
DSDV,true,9,5,0,1,49,0,1Mbps,3974,1329,33.4424,9.81738,71.0402,2645,2379,99.634
DSDV,true,9,10,0,3,49|48|47,0,1Mbps,3974,719,18.0926,5.31233,134.394,3255,2940,99.6143
DSDV,true,9,10,0,5,49|48|47|46|45,0,1Mbps,3974,569,14.3181,4.20803,66.5299,3405,3078,99.5203
DSDV,false,10,10,0,0,,0,1Mbps,3975,610,15.3459,4.50435,22.2177,3365,3029,99.6725
DSDV,true,10,10,0,1,49,0,1Mbps,3975,488,12.2767,3.60347,98.8899,3487,3173,99.6727
DSDV,false,10,2,0,0,,0,1Mbps,3975,2673,67.2453,19.7377,8.01346,1302,1177,99.6736
DSDV,false,10,5,0,0,,0,1Mbps,3975,1599,40.2264,11.8074,13.8042,2376,2129,99.672
DSDV,true,10,2,0,1,49,0,1Mbps,3975,2007,50.4906,14.8274,109.109,1968,1766,99.6229
DSDV,true,10,5,0,1,49,0,1Mbps,3975,1321,33.2327,9.75952,36.331,2654,2332,99.6212
DSDV,true,10,10,0,3,49|48|47,0,1Mbps,3975,384,9.66038,2.83553,52.7258,3591,3254,99.6725
DSDV,true,10,10,0,5,49|48|47|46|45,0,1Mbps,3975,439,11.044,3.24161,35.353,3536,3215,99.674
