Protocol,DosEnabled,Seed,NodeSpeed,NodePause,NumAttackers,AttackerNodes,AttackTargetNode,DosRate,TxPackets,RxPackets,PDR_percent,Throughput_kbps,AvgDelay_ms,LostPacketsByDiff,FlowmonLostPackets,ActiveDuration_s
OLSR,false,1,10,0,0,,0,1Mbps,2462,1406,57.108,10.411,2.95043,1056,956,99.3968
OLSR,true,1,10,0,1,49,0,1Mbps,2375,1332,56.0842,9.86301,8.81582,1043,907,99.3968
OLSR,false,1,2,0,0,,0,1Mbps,3514,2534,72.1116,18.7634,9.07603,980,862,99.397
OLSR,false,1,5,0,0,,0,1Mbps,2765,1465,52.9837,10.8432,8.41863,1300,1137,99.4397
OLSR,true,1,2,0,1,49,0,1Mbps,2529,1918,75.8403,14.2021,18.8047,611,590,99.3968
OLSR,true,1,5,0,1,49,0,1Mbps,2730,1349,49.4139,9.98923,75.2149,1381,1166,99.3935
OLSR,true,1,10,0,3,49|48|47,0,1Mbps,2329,1368,58.7377,10.1296,12.8532,961,859,99.3968
OLSR,true,1,10,0,5,49|48|47|46|45,0,1Mbps,1994,1363,68.3551,10.1071,22.4774,631,551,99.2542
OLSR,false,2,10,0,0,,0,1Mbps,2760,1142,41.3768,8.44153,11.2561,1618,1564,99.5687
OLSR,true,2,10,0,1,49,0,1Mbps,2053,975,47.4915,7.20708,74.3215,1078,1023,99.5687
OLSR,false,2,2,0,0,,0,1Mbps,3605,2403,66.6574,17.7396,11.5459,1202,1137,99.6983
OLSR,false,2,5,0,0,,0,1Mbps,2740,1528,55.7664,11.2979,8.91918,1212,1112,99.5416
OLSR,true,2,2,0,1,49,0,1Mbps,2564,1182,46.0998,8.73183,253.606,1382,1285,99.63
OLSR,true,2,5,0,1,49,0,1Mbps,2741,1454,53.0463,10.7507,41.0248,1287,1190,99.5416
OLSR,true,2,10,0,3,49|48|47,0,1Mbps,1928,772,40.0415,5.70653,108.118,1156,1103,99.5687
OLSR,true,2,10,0,5,49|48|47|46|45,0,1Mbps,1651,615,37.2502,4.54618,145.028,1036,943,99.5648
OLSR,false,3,10,0,0,,0,1Mbps,2443,1425,58.3299,10.5486,5.00326,1018,926,99.4254
OLSR,true,3,10,0,1,49,0,1Mbps,2422,1314,54.2527,9.72693,20.3769,1108,994,99.4254
OLSR,false,3,2,0,0,,0,1Mbps,3332,2549,76.5006,18.8693,2.66509,783,770,99.4243
OLSR,false,3,5,0,0,,0,1Mbps,3522,2128,60.4202,15.764,8.52512,1394,1278,99.3535
OLSR,true,3,2,0,1,49,0,1Mbps,2813,2392,85.0338,17.7071,12.1693,421,396,99.4243
OLSR,true,3,5,0,1,49,0,1Mbps,2918,1935,66.3125,14.3354,39.9818,983,908,99.3454
OLSR,true,3,10,0,3,49|48|47,0,1Mbps,2380,1152,48.4034,8.52772,25.3808,1228,1137,99.4254
OLSR,true,3,10,0,5,49|48|47|46|45,0,1Mbps,1948,1177,60.4209,8.71264,52.4889,771,690,99.4271
OLSR,false,4,10,0,0,,0,1Mbps,2686,1305,48.5853,9.64761,7.00485,1381,1278,99.5563
OLSR,true,4,10,0,1,49,0,1Mbps,2578,1163,45.1125,8.59783,11.9141,1415,1327,99.5563
OLSR,false,4,2,0,0,,0,1Mbps,3607,2732,75.7416,20.1943,5.21059,875,742,99.5702
OLSR,false,4,5,0,0,,0,1Mbps,2687,1880,69.9665,13.8965,3.21679,807,745,99.5702
OLSR,true,4,2,0,1,49,0,1Mbps,2368,1993,84.1639,14.7297,52.3606,375,331,99.5845
OLSR,true,4,5,0,1,49,0,1Mbps,2487,1728,69.4813,12.773,8.17862,759,664,99.5702
OLSR,true,4,10,0,3,49|48|47,0,1Mbps,2572,1174,45.6454,8.67915,12.169,1398,1289,99.5563
OLSR,true,4,10,0,5,49|48|47|46|45,0,1Mbps,2601,1236,47.5202,9.1375,24.2819,1365,1276,99.5563
